PAAC2_A,PAAC2_C,PAAC2_D,PAAC2_E,PAAC2_F,PAAC2_G,PAAC2_H,PAAC2_I,PAAC2_K,PAAC2_L,PAAC2_M,PAAC2_N,PAAC2_P,PAAC2_Q,PAAC2_R,PAAC2_S,PAAC2_T,PAAC2_V,PAAC2_W,PAAC2_Y,PAAC2_lam1,PAAC2_lam2,Target
6.25,0,6.25,0,0,6.25,6.25,0,12.5,6.25,0,0,12.5,0,18.75,6.25,0,18.75,0,0,0.0733,0.0637,1
9.52,19.05,4.76,0,9.52,19.05,0,4.76,0,9.52,0,4.76,0,0,0,4.76,0,4.76,4.76,4.76,0.0616,0.0531,1
7.69,0,0,3.85,0,7.69,11.54,3.85,3.85,19.23,0,0,7.69,0,0,7.69,3.85,23.08,0,0,0.0452,0.0655,1
3.57,0,3.57,3.57,3.57,3.57,10.71,3.57,3.57,3.57,7.14,3.57,7.14,3.57,14.29,3.57,3.57,7.14,3.57,7.14,0.0654,0.07,1
0,0,0,0,12,8,4,12,12,0,4,4,0,0,36,0,4,4,0,0,0.0799,0.0927,1
21.74,4.35,4.35,4.35,0,13.04,0,4.35,4.35,0,0,4.35,4.35,0,34.78,0,0,0,0,0,0.1017,0.1343,1
0,0,4,0,4,4,4,4,8,8,8,4,4,0,24,0,4,16,4,0,0.1159,0.098,1
13.33,0,13.33,13.33,0,0,0,6.67,6.67,16.67,0,6.67,0,3.33,3.33,6.67,3.33,6.67,0,0,0.081,0.102,1
22.73,9.09,4.55,0,0,4.55,0,9.09,4.55,4.55,0,0,9.09,4.55,13.64,0,4.55,4.55,0,4.55,0.1095,0.0898,1
7.69,0,0,0,7.69,0,0,0,30.77,15.38,0,0,7.69,0,0,0,7.69,15.38,0,7.69,0.031,0.0694,1
8.7,0,0,4.35,4.35,13.04,8.7,4.35,4.35,13.04,0,0,8.7,0,0,4.35,4.35,21.74,0,0,0.0515,0.0705,1
0,0,0,0,8.7,13.04,4.35,8.7,13.04,13.04,4.35,0,4.35,0,8.7,8.7,0,13.04,0,0,0.0834,0.0725,1
0,0,9.52,14.29,0,14.29,4.76,0,4.76,0,0,0,9.52,0,14.29,0,4.76,14.29,4.76,4.76,0.1039,0.0938,1
0,3.57,3.57,0,0,0,0,7.14,7.14,7.14,14.29,3.57,0,0,10.71,7.14,10.71,17.86,3.57,3.57,0.0865,0.1105,1
5,5,20,0,0,5,0,0,10,20,5,10,5,0,0,0,10,0,0,5,0.0767,0.0746,1
0,0,3.33,0,0,3.33,0,0,6.67,3.33,0,3.33,40,6.67,3.33,10,10,6.67,0,3.33,0.0573,0.0516,1
0,0,0,0,0,0,4.76,19.05,4.76,9.52,14.29,0,0,4.76,4.76,0,14.29,14.29,9.52,0,0.0543,0.0664,1
3.33,16.67,0,3.33,0,10,0,6.67,6.67,3.33,10,3.33,6.67,0,0,6.67,6.67,6.67,3.33,6.67,0.0552,0.0581,1
5.56,0,5.56,11.11,0,0,0,0,11.11,16.67,0,11.11,0,11.11,16.67,11.11,0,0,0,0,0.0853,0.088,1
0,27.78,0,0,5.56,11.11,0,0,0,11.11,0,0,0,0,27.78,0,11.11,5.56,0,0,0.1007,0.1527,1
0,0,0,30.43,0,0,0,8.7,26.09,4.35,4.35,0,4.35,4.35,0,4.35,8.7,4.35,0,0,0.0701,0.0959,1
3.33,0,6.67,23.33,0,0,0,10,20,3.33,0,3.33,0,6.67,3.33,3.33,3.33,0,10,3.33,0.0964,0.1199,1
5.26,5.26,15.79,5.26,5.26,0,0,0,5.26,15.79,5.26,5.26,5.26,0,0,15.79,0,10.53,0,0,0.0536,0.0674,1
0,0,7.41,18.52,3.7,3.7,0,0,14.81,11.11,7.41,14.81,0,0,3.7,7.41,3.7,3.7,0,0,0.0726,0.0773,1
27.78,0,0,0,0,11.11,0,0,11.11,16.67,0,0,0,0,11.11,0,5.56,11.11,5.56,0,0.1013,0.0935,1
0,5.26,5.26,0,5.26,0,5.26,0,0,10.53,5.26,15.79,0,0,10.53,5.26,10.53,15.79,0,5.26,0.1117,0.0395,1
3.33,3.33,3.33,0,6.67,3.33,20,3.33,6.67,3.33,10,3.33,6.67,3.33,6.67,0,10,6.67,0,0,0.0554,0.0684,1
0,0,5,0,15,0,5,5,5,5,5,0,20,0,0,5,10,10,5,5,0.0798,0.0513,1
11.76,0,0,0,0,11.76,11.76,0,0,0,5.88,5.88,11.76,0,11.76,5.88,5.88,5.88,5.88,5.88,0.0704,0.0807,1
3.33,0,0,30,0,0,0,3.33,26.67,13.33,3.33,3.33,0,10,3.33,0,0,0,3.33,0,0.0857,0.0872,1
0,5.56,11.11,5.56,5.56,16.67,0,11.11,0,11.11,0,5.56,0,0,5.56,11.11,0,11.11,0,0,0.0776,0.0879,1
0,0,0,20,12,0,0,8,20,20,0,4,4,8,4,0,0,0,0,0,0.0796,0.1163,1
5,5,20,5,0,0,0,10,0,5,5,5,5,0,5,10,0,5,15,0,0.1257,0.0927,1
0,0,0,0,7.69,38.46,23.08,0,0,0,0,0,0,7.69,0,7.69,0,15.38,0,0,0.0794,0.0548,1
16.67,11.11,0,0,0,0,5.56,5.56,5.56,22.22,5.56,0,0,5.56,5.56,0,5.56,0,0,11.11,0.078,0.0674,1
0,5.88,5.88,5.88,0,0,11.76,5.88,0,0,5.88,11.76,11.76,0,17.65,11.76,0,5.88,0,0,0.0685,0.0788,1
8,0,0,4,4,12,8,4,8,16,0,0,8,0,0,4,0,24,0,0,0.0547,0.0766,1
7.14,0,3.57,21.43,3.57,0,7.14,3.57,3.57,10.71,10.71,3.57,3.57,7.14,7.14,0,7.14,0,0,0,0.0845,0.0742,1
24.14,3.45,0,0,0,13.79,3.45,3.45,6.9,13.79,0,3.45,3.45,3.45,3.45,0,10.34,0,6.9,0,0.0708,0.0759,1
10,0,0,10,20,0,0,10,10,5,5,5,15,0,0,5,0,5,0,0,0.0803,0.0625,1
0,0,0,0,0,0,0,0,7.14,14.29,14.29,7.14,14.29,0,14.29,7.14,7.14,14.29,0,0,0.0902,0.0836,1
8,8,0,0,16,0,0,0,16,8,8,4,4,0,8,0,8,8,0,4,0.112,0.0773,1
0,0,10,0,10,0,0,0,20,0,10,0,0,0,10,0,0,10,10,20,0.1622,0.0868,1
6.67,3.33,3.33,23.33,3.33,3.33,0,0,13.33,6.67,3.33,10,3.33,6.67,0,3.33,6.67,0,0,3.33,0.0581,0.0823,1
4,8,0,4,0,8,0,12,16,4,8,4,0,0,8,8,12,0,4,0,0.0897,0.0976,1
0,5.26,15.79,5.26,5.26,0,0,15.79,0,15.79,0,5.26,5.26,0,0,15.79,5.26,5.26,0,0,0.0633,0.0568,1
20,3.33,3.33,3.33,6.67,13.33,0,6.67,3.33,3.33,0,6.67,0,0,0,6.67,10,13.33,0,0,0.0541,0.0637,1
4.55,4.55,0,0,13.64,13.64,13.64,0,4.55,22.73,0,0,0,0,13.64,0,0,9.09,0,0,0.0998,0.1357,1
0,0,0,0,15.38,0,0,7.69,30.77,15.38,0,0,7.69,0,0,0,0,15.38,0,7.69,0.0359,0.0594,1
18.75,0,12.5,0,0,0,0,6.25,6.25,6.25,12.5,6.25,6.25,0,18.75,0,0,0,0,6.25,0.1032,0.1251,1
25,0,0,0,0,0,0,0,12.5,25,0,0,6.25,0,12.5,6.25,0,12.5,0,0,0.0284,0.0493,1
8.7,4.35,0,0,8.7,4.35,0,8.7,8.7,0,4.35,0,4.35,0,26.09,0,4.35,13.04,4.35,0,0.0805,0.1286,1
4,16,0,4,24,0,0,0,12,0,8,8,0,0,0,4,20,0,0,0,0.0738,0.071,1
21.43,0,0,0,0,0,0,0,42.86,0,0,0,0,0,0,0,7.14,21.43,0,7.14,0.0575,0.0963,1
0,6.67,6.67,0,20,0,6.67,6.67,0,20,6.67,13.33,6.67,0,0,0,6.67,0,0,0,0.0426,0.0598,1
16.67,16.67,3.33,3.33,0,6.67,6.67,0,3.33,6.67,3.33,0,0,3.33,0,10,6.67,3.33,10,0,0.0633,0.0851,1
0,0,8.7,4.35,4.35,0,0,4.35,4.35,4.35,0,8.7,4.35,4.35,13.04,4.35,8.7,21.74,4.35,0,0.1146,0.0883,1
6.67,0,0,26.67,3.33,0,0,10,23.33,10,0,6.67,3.33,6.67,0,3.33,0,0,0,0,0.0743,0.0946,1
0,5,5,0,0,5,5,10,20,5,15,5,5,0,0,10,5,5,0,0,0.0573,0.0785,1
7.14,0,0,0,10.71,0,0,3.57,14.29,0,7.14,3.57,14.29,0,7.14,7.14,10.71,14.29,0,0,0.0724,0.0964,1
9.09,4.55,9.09,0,0,18.18,0,0,4.55,0,9.09,0,0,9.09,9.09,13.64,4.55,4.55,4.55,0,0.0864,0.1038,1
5.56,0,0,11.11,0,5.56,0,0,0,0,0,5.56,0,0,55.56,5.56,0,0,11.11,0,0.1356,0.1024,1
19.05,0,0,9.52,4.76,9.52,4.76,0,9.52,0,0,0,9.52,9.52,0,0,4.76,9.52,0,9.52,0.0874,0.0858,1
7.14,0,0,0,21.43,0,0,0,21.43,21.43,0,7.14,0,0,0,0,7.14,7.14,7.14,0,0.0401,0.0649,1
10,5,5,5,10,0,0,15,0,10,5,0,15,0,0,5,10,5,0,0,0.0534,0.0452,1
0,0,0,14.29,0,4.76,14.29,9.52,14.29,4.76,0,0,0,9.52,9.52,0,4.76,4.76,4.76,4.76,0.1109,0.0974,1
0,0,0,0,3.33,0,3.33,6.67,6.67,23.33,0,3.33,23.33,6.67,10,6.67,3.33,0,0,3.33,0.0666,0.0852,1
0,0,0,5.56,5.56,5.56,5.56,0,5.56,22.22,0,0,5.56,0,22.22,0,11.11,5.56,5.56,0,0.1292,0.1491,1
15,5,5,5,0,0,20,5,10,0,10,0,0,5,0,0,10,10,0,0,0.0617,0.0603,1
5.88,5.88,11.76,0,5.88,0,0,0,0,0,5.88,5.88,5.88,0,17.65,17.65,0,5.88,11.76,0,0.0737,0.1317,1
0,0,0,5.26,5.26,15.79,0,0,15.79,10.53,5.26,5.26,0,0,21.05,0,10.53,5.26,0,0,0.1174,0.1068,1
10,0,10,10,0,0,0,15,15,5,10,5,0,0,0,5,0,0,5,10,0.1035,0.096,1
3.57,7.14,0,3.57,21.43,0,14.29,3.57,7.14,10.71,3.57,0,0,0,17.86,0,3.57,3.57,0,0,0.1072,0.1193,1
4.17,0,4.17,4.17,8.33,29.17,0,0,0,16.67,0,16.67,0,0,4.17,0,8.33,0,4.17,0,0.0936,0.0836,1
21.43,0,0,7.14,0,0,0,0,28.57,7.14,7.14,0,0,0,0,0,7.14,21.43,0,0,0.0733,0.0575,1
8.7,4.35,0,8.7,4.35,0,8.7,0,13.04,4.35,0,4.35,13.04,4.35,8.7,4.35,4.35,0,0,8.7,0.0845,0.0832,1
15.79,0,0,10.53,0,31.58,0,0,0,26.32,0,0,0,0,0,5.26,5.26,5.26,0,0,0.048,0.0547,1
13.33,0,0,0,6.67,0,0,0,6.67,6.67,0,6.67,13.33,0,26.67,0,6.67,6.67,0,6.67,0.0942,0.1101,1
30.77,0,0,0,0,0,0,0,15.38,15.38,0,0,7.69,0,15.38,0,0,15.38,0,0,0.0304,0.0533,1
0,3.57,7.14,0,3.57,21.43,0,0,7.14,7.14,10.71,7.14,3.57,0,21.43,0,3.57,0,3.57,0,0.0783,0.1083,1
6.67,0,13.33,0,0,0,0,0,13.33,0,0,6.67,33.33,0,26.67,0,0,0,0,0,0.0899,0.0944,1
3.85,0,3.85,23.08,3.85,0,3.85,7.69,15.38,3.85,7.69,3.85,0,7.69,3.85,3.85,0,0,3.85,3.85,0.0957,0.0972,1
10,10,16.67,3.33,0,6.67,6.67,0,3.33,10,0,0,0,0,0,10,3.33,10,3.33,6.67,0.076,0.0866,1
5,0,0,10,15,0,0,10,5,5,5,5,20,0,0,10,0,10,0,0,0.0702,0.0573,1
7.14,0,10.71,0,0,10.71,7.14,0,7.14,3.57,7.14,7.14,3.57,3.57,14.29,3.57,3.57,3.57,0,7.14,0.0803,0.1136,1
6.67,20,0,3.33,3.33,10,0,6.67,6.67,3.33,0,6.67,10,0,3.33,6.67,3.33,6.67,0,3.33,0.0535,0.0492,1
0,0,20,0,0,0,0,13.33,13.33,6.67,20,0,0,6.67,0,0,0,13.33,0,6.67,0.0697,0.0605,1
0,0,20,6.67,0,0,0,0,6.67,13.33,6.67,20,6.67,6.67,0,0,13.33,0,0,0,0.0421,0.0335,1
13.04,0,13.04,8.7,0,0,0,4.35,13.04,0,0,4.35,0,0,4.35,17.39,8.7,13.04,0,0,0.0578,0.0775,1
15.38,0,0,0,0,0,0,0,38.46,7.69,0,0,0,0,0,0,7.69,30.77,0,0,0.0453,0.0784,1
15.38,0,0,0,0,0,0,0,30.77,7.69,0,0,7.69,0,0,0,7.69,23.08,0,7.69,0.038,0.0643,1
8,4,4,4,0,0,4,8,4,12,0,4,12,4,4,4,12,12,0,0,0.0666,0.071,1
0,6.67,6.67,6.67,6.67,0,0,20,0,6.67,6.67,6.67,6.67,0,6.67,6.67,0,13.33,0,0,0.0956,0.0827,1
7.69,0,0,0,15.38,0,0,0,30.77,7.69,0,0,7.69,0,0,0,7.69,15.38,0,7.69,0.0323,0.0641,1
4.76,4.76,0,0,9.52,19.05,9.52,0,0,0,0,0,19.05,0,9.52,0,4.76,4.76,0,14.29,0.0927,0.0674,1
6.67,3.33,3.33,23.33,0,0,3.33,6.67,3.33,10,3.33,13.33,3.33,6.67,0,6.67,0,3.33,0,3.33,0.0555,0.0552,1
12.5,0,0,0,6.25,0,0,0,25,0,0,6.25,0,6.25,0,6.25,6.25,25,0,6.25,0.0401,0.0632,1
0,33.33,0,0,0,22.22,0,5.56,0,16.67,0,0,0,0,22.22,0,0,0,0,0,0.1154,0.1273,1
17.39,0,0,0,21.74,8.7,0,0,13.04,13.04,0,0,0,0,26.09,0,0,0,0,0,0.1414,0.1706,1
0,16.67,6.67,6.67,0,16.67,0,3.33,0,3.33,0,6.67,10,0,3.33,0,16.67,6.67,3.33,0,0.0581,0.0742,1
0,0,6.25,6.25,0,6.25,0,6.25,12.5,12.5,0,6.25,6.25,0,31.25,0,0,0,0,6.25,0.0778,0.0986,1
6.67,6.67,13.33,0,6.67,0,6.67,0,13.33,0,0,0,6.67,0,20,0,6.67,6.67,6.67,0,0.0852,0.096,1
19.05,4.76,4.76,0,4.76,0,0,9.52,0,4.76,0,4.76,9.52,0,19.05,4.76,9.52,0,0,4.76,0.098,0.1238,1
7.69,0,7.69,0,11.54,3.85,3.85,11.54,7.69,0,3.85,0,7.69,0,3.85,3.85,7.69,19.23,0,0,0.0749,0.0931,1
10,5,15,0,0,5,0,0,5,15,5,10,15,0,0,0,10,0,5,0,0.0671,0.0636,1
6.25,0,18.75,0,0,6.25,6.25,6.25,0,6.25,0,0,6.25,6.25,6.25,6.25,0,18.75,6.25,0,0.1022,0.0833,1
10,0,0,0,0,0,10,0,10,20,0,0,0,10,20,10,0,0,10,0,0.1713,0.069,1
33.33,0,6.67,0,13.33,0,6.67,0,0,0,0,13.33,6.67,0,13.33,0,6.67,0,0,0,0.1094,0.0927,1
0,0,3.33,30,0,0,0,10,23.33,3.33,3.33,0,0,6.67,0,3.33,6.67,0,6.67,3.33,0.0866,0.1087,1
20,0,13.33,6.67,6.67,0,0,0,0,0,6.67,0,0,0,0,26.67,0,13.33,0,6.67,0.0633,0.0497,1
0,0,10,0,15,0,5,0,20,5,5,10,0,0,5,0,15,5,0,5,0.0954,0.0877,1
0,7.41,3.7,0,7.41,0,3.7,11.11,3.7,0,14.81,0,0,3.7,18.52,0,14.81,3.7,0,7.41,0.0768,0.0915,1
13.04,0,4.35,4.35,4.35,13.04,0,8.7,13.04,0,0,8.7,8.7,0,13.04,4.35,4.35,0,0,0,0.0885,0.1025,1
0,22.22,0,0,5.56,16.67,0,0,0,5.56,0,0,0,0,33.33,0,0,11.11,0,5.56,0.1107,0.1345,1
0,15.38,0,7.69,0,7.69,0,0,7.69,15.38,0,0,7.69,0,0,0,15.38,7.69,15.38,0,0.0873,0.1073,1
11.54,0,0,3.85,7.69,0,7.69,0,11.54,3.85,0,3.85,7.69,0,15.38,0,7.69,15.38,0,3.85,0.106,0.1071,1
0,3.57,7.14,0,3.57,7.14,0,0,3.57,3.57,14.29,3.57,7.14,0,10.71,7.14,17.86,0,7.14,3.57,0.071,0.0804,1
0,0,0,0,0,0,0,7.69,0,15.38,7.69,7.69,23.08,7.69,7.69,15.38,0,7.69,0,0,0.0746,0.0606,1
4.55,0,4.55,4.55,4.55,9.09,0,0,9.09,4.55,9.09,4.55,4.55,0,13.64,9.09,13.64,0,4.55,0,0.1157,0.1054,1
7.14,3.57,0,10.71,3.57,0,3.57,0,17.86,7.14,17.86,7.14,0,0,14.29,3.57,0,3.57,0,0,0.079,0.0609,1
0,0,0,0,0,10,0,0,10,0,0,0,0,0,60,0,0,0,0,20,0.1351,0.0716,1
0,0,6.25,0,0,0,6.25,12.5,12.5,0,6.25,6.25,0,0,0,6.25,12.5,12.5,0,18.75,0.0808,0.1043,1
6.67,0,6.67,6.67,0,10,6.67,3.33,0,23.33,3.33,3.33,16.67,0,0,3.33,3.33,6.67,0,0,0.0534,0.06,1
9.52,4.76,4.76,0,4.76,9.52,0,4.76,0,9.52,4.76,9.52,14.29,0,4.76,0,4.76,4.76,9.52,0,0.076,0.0761,1
5.56,5.56,0,5.56,11.11,0,0,5.56,5.56,27.78,0,0,5.56,0,5.56,0,16.67,0,5.56,0,0.0849,0.0724,1
6.67,13.33,13.33,0,0,0,6.67,0,6.67,6.67,6.67,6.67,0,0,13.33,0,13.33,6.67,0,0,0.0792,0.0878,1
14.29,0,0,0,21.43,0,0,0,28.57,28.57,0,0,0,0,0,0,7.14,0,0,0,0.0338,0.0618,1
0,0,0,0,41.18,5.88,0,5.88,0,11.76,0,0,5.88,0,5.88,0,11.76,5.88,5.88,0,0.0585,0.0639,1
8.33,4.17,12.5,0,0,0,4.17,16.67,4.17,8.33,0,8.33,12.5,0,0,4.17,12.5,4.17,0,0,0.0559,0.0652,1
12.5,6.25,6.25,0,12.5,0,6.25,6.25,12.5,6.25,0,0,0,0,12.5,0,12.5,6.25,0,0,0.0969,0.1018,1
7.69,0,0,0,0,0,0,0,30.77,15.38,0,7.69,0,0,0,0,7.69,23.08,0,7.69,0.0411,0.0622,1
7.41,7.41,3.7,7.41,0,18.52,0,14.81,3.7,3.7,0,0,0,0,11.11,11.11,3.7,3.7,3.7,0,0.0583,0.0791,1
8.33,0,0,4.17,12.5,16.67,4.17,0,8.33,20.83,0,0,4.17,0,4.17,4.17,4.17,8.33,0,0,0.0931,0.113,1
5,0,0,10,15,0,0,10,10,0,5,0,20,0,0,10,0,15,0,0,0.0869,0.0532,1
8,0,0,0,0,4,0,0,0,8,8,8,0,0,20,8,8,20,4,4,0.0748,0.083,1
0,0,4.55,27.27,0,0,4.55,9.09,22.73,9.09,0,0,0,0,4.55,0,4.55,0,9.09,4.55,0.0948,0.1253,1
0,20,0,3.33,0,16.67,0,0,0,3.33,0,6.67,13.33,0,3.33,3.33,16.67,10,3.33,0,0.0488,0.05,1
30,0,0,0,0,0,5,0,15,25,0,0,5,0,10,0,0,10,0,0,0.0485,0.0644,1
11.76,0,5.88,5.88,0,17.65,0,5.88,17.65,17.65,0,0,0,0,0,0,0,17.65,0,0,0.0698,0.0979,1
8.33,0,8.33,0,0,33.33,8.33,0,8.33,0,0,16.67,0,0,0,0,0,8.33,0,8.33,0.0881,0.0858,1
11.11,0,3.7,3.7,3.7,3.7,3.7,3.7,11.11,7.41,0,18.52,7.41,0,0,3.7,3.7,7.41,0,7.41,0.0702,0.08,1
15.38,0,7.69,0,7.69,0,0,0,30.77,0,0,0,0,0,0,0,7.69,23.08,0,7.69,0.0614,0.0518,1
0,4.76,4.76,4.76,0,4.76,0,4.76,0,0,14.29,0,4.76,0,0,4.76,38.1,4.76,0,9.52,0.0462,0.0426,1
0,0,12.5,0,6.25,0,0,6.25,0,12.5,0,6.25,12.5,6.25,0,0,6.25,25,0,6.25,0.0727,0.0421,1
4,4,4,4,0,12,8,0,8,0,0,4,4,0,8,4,8,12,16,0,0.1194,0.0932,1
9.52,4.76,4.76,0,14.29,14.29,0,4.76,9.52,4.76,4.76,9.52,4.76,4.76,4.76,0,4.76,0,0,0,0.0745,0.0949,1
25,16.67,0,0,0,0,8.33,8.33,0,8.33,0,8.33,0,8.33,0,8.33,0,0,0,8.33,0.0563,0.0432,1
6.67,6.67,6.67,6.67,0,0,6.67,0,6.67,0,13.33,0,6.67,0,6.67,20,0,6.67,0,6.67,0.0677,0.0554,1
6.67,3.33,10,13.33,0,10,0,6.67,16.67,3.33,0,3.33,3.33,3.33,3.33,0,0,6.67,3.33,6.67,0.1108,0.084,1
10,5,0,0,0,0,0,10,10,5,0,5,5,5,10,5,0,20,5,5,0.1055,0.0849,1
44.44,0,0,0,0,0,3.7,11.11,11.11,7.41,0,0,0,3.7,3.7,0,3.7,7.41,0,3.7,0.0676,0.0812,1
16.67,0,16.67,8.33,0,0,0,8.33,8.33,0,4.17,4.17,0,0,4.17,4.17,4.17,16.67,0,4.17,0.0679,0.0908,1
7.14,0,0,0,10.71,3.57,3.57,3.57,25,10.71,3.57,3.57,3.57,0,14.29,0,7.14,3.57,0,0,0.106,0.1503,1
4.76,4.76,0,0,0,0,4.76,9.52,19.05,4.76,4.76,0,0,4.76,14.29,0,14.29,9.52,0,4.76,0.098,0.1302,1
22.22,5.56,0,11.11,0,5.56,0,0,0,5.56,11.11,0,5.56,0,0,0,11.11,16.67,0,5.56,0.0347,0.0509,1
28.57,0,0,0,0,0,0,0,28.57,7.14,0,0,0,0,7.14,0,7.14,21.43,0,0,0.0483,0.0676,1
5,0,0,5,0,20,0,10,5,25,0,5,5,0,0,5,5,10,0,0,0.0537,0.0742,1
9.52,0,0,0,0,0,9.52,9.52,9.52,14.29,0,4.76,14.29,0,19.05,4.76,0,4.76,0,0,0.1197,0.0943,1
5.56,0,22.22,0,0,5.56,0,0,0,16.67,0,0,0,0,16.67,5.56,11.11,16.67,0,0,0.0691,0.0792,1
0,0,0,0,11.11,5.56,0,5.56,11.11,11.11,5.56,0,0,0,22.22,0,11.11,5.56,5.56,5.56,0.1404,0.1219,1
0,0,0,0,0,5.26,5.26,10.53,0,5.26,15.79,10.53,5.26,5.26,21.05,5.26,5.26,0,0,5.26,0.1165,0.0875,1
5.26,10.53,5.26,0,5.26,0,0,5.26,0,5.26,0,10.53,0,0,15.79,0,10.53,0,21.05,5.26,0.0888,0.1203,1
5,10,0,5,5,5,0,10,15,5,5,5,10,0,0,10,5,0,5,0,0.0893,0.0849,1
0,0,0,0,0,30,0,5,10,45,0,0,5,0,0,0,0,5,0,0,0.0496,0.0809,1
6.25,0,0,0,6.25,0,6.25,12.5,6.25,31.25,0,0,0,0,18.75,0,0,0,6.25,6.25,0.0696,0.0975,1
7.69,0,0,0,15.38,0,0,0,30.77,7.69,0,0,7.69,0,0,0,0,23.08,0,7.69,0.0373,0.0724,1
14.29,0,0,0,3.57,0,3.57,17.86,28.57,7.14,3.57,0,0,0,3.57,3.57,3.57,7.14,0,3.57,0.0807,0.1261,1
9.52,0,4.76,0,9.52,4.76,0,0,4.76,14.29,4.76,4.76,0,0,23.81,4.76,4.76,0,4.76,4.76,0.0989,0.1603,1
13.33,0,0,0,6.67,6.67,6.67,0,13.33,13.33,0,20,0,6.67,0,0,0,6.67,0,6.67,0.0861,0.0934,1
0,0,0,0,0,0,0,33.33,8.33,25,0,8.33,0,8.33,8.33,0,0,0,0,8.33,0.1012,0.1208,1
3.85,0,0,30.77,3.85,0,0,7.69,15.38,7.69,0,0,0,7.69,3.85,0,0,7.69,7.69,3.85,0.0994,0.1368,1
0,10,10,0,0,5,10,5,10,0,10,5,5,0,0,0,15,0,5,10,0.0765,0.0695,1
12.5,0,6.25,12.5,0,6.25,6.25,0,0,12.5,0,0,6.25,0,12.5,6.25,12.5,0,6.25,0,0.0809,0.1162,1
0,5.26,15.79,5.26,5.26,0,0,10.53,0,10.53,5.26,5.26,5.26,0,0,15.79,5.26,10.53,0,0,0.0638,0.0559,1
0,8,8,8,0,12,0,4,8,16,4,4,0,0,8,4,8,4,0,4,0.0693,0.0801,1
7.69,3.85,7.69,3.85,3.85,11.54,3.85,0,11.54,0,7.69,7.69,3.85,0,11.54,3.85,0,7.69,0,3.85,0.0706,0.1138,1
11.11,5.56,0,0,5.56,0,11.11,11.11,11.11,5.56,0,16.67,0,5.56,0,0,5.56,11.11,0,0,0.0507,0.0579,1
21.74,4.35,4.35,0,4.35,13.04,4.35,0,8.7,8.7,0,17.39,0,0,4.35,4.35,4.35,0,0,0,0.0841,0.1025,1
16.67,0,8.33,0,0,25,0,0,8.33,25,0,0,0,0,8.33,8.33,0,0,0,0,0.1098,0.084,1
6.67,20,3.33,3.33,3.33,3.33,0,13.33,13.33,3.33,0,6.67,3.33,6.67,0,0,6.67,3.33,3.33,0,0.069,0.0612,1
11.76,5.88,5.88,0,0,5.88,5.88,5.88,0,11.76,0,11.76,0,0,5.88,5.88,23.53,0,0,0,0.0526,0.0376,1
5,5,5,0,5,10,0,0,0,10,10,5,15,0,0,0,5,15,10,0,0.0634,0.0597,1
3.33,20,3.33,3.33,3.33,16.67,0,3.33,3.33,3.33,0,6.67,10,0,0,3.33,13.33,3.33,3.33,0,0.0553,0.0594,1
8.7,4.35,0,8.7,4.35,8.7,0,4.35,4.35,4.35,4.35,4.35,8.7,0,0,17.39,4.35,13.04,0,0,0.0624,0.0492,1
14.29,0,0,7.14,0,0,0,0,28.57,7.14,0,0,0,0,0,0,7.14,28.57,0,7.14,0.0432,0.0708,1
0,0,0,0,0,7.69,0,7.69,0,23.08,7.69,0,38.46,0,0,0,0,0,15.38,0,0.0835,0.0564,1
0,0,17.65,5.88,0,17.65,0,5.88,0,5.88,0,0,23.53,0,0,11.76,0,0,0,11.76,0.0597,0.076,1
11.76,0,0,5.88,11.76,0,0,11.76,0,11.76,0,5.88,11.76,5.88,0,5.88,5.88,11.76,0,0,0.0457,0.0529,1
13.33,0,6.67,0,6.67,6.67,0,6.67,13.33,6.67,0,0,13.33,0,13.33,0,0,13.33,0,0,0.0834,0.0845,1
5,10,5,10,0,5,0,5,0,5,5,0,5,5,0,5,10,15,5,5,0.0675,0.0702,1
16.67,5.56,0,11.11,0,5.56,5.56,0,0,5.56,0,11.11,5.56,0,0,0,11.11,22.22,0,0,0.0501,0.0517,1
0,16.67,0,0,0,5.56,5.56,0,5.56,5.56,11.11,11.11,0,0,5.56,5.56,5.56,11.11,5.56,5.56,0.0831,0.0848,1
0,5.88,0,0,0,5.88,0,5.88,0,11.76,0,0,5.88,5.88,17.65,5.88,11.76,11.76,11.76,0,0.0922,0.088,1
16.67,0,0,4.17,12.5,16.67,8.33,4.17,8.33,12.5,0,0,0,0,4.17,4.17,4.17,4.17,0,0,0.0971,0.1104,1
0,0,18.18,9.09,9.09,0,0,9.09,18.18,9.09,0,0,9.09,0,0,0,0,0,9.09,9.09,0.133,0.0818,1
3.57,7.14,3.57,0,0,10.71,3.57,0,10.71,0,10.71,0,7.14,0,25,0,7.14,3.57,3.57,3.57,0.0757,0.0697,1
0,0,4,0,8,0,8,16,0,16,0,0,4,4,40,0,0,0,0,0,0.087,0.0925,1
4,0,12,0,8,0,4,4,0,8,8,4,8,0,8,0,16,12,0,4,0.0967,0.0852,1
11.11,3.7,11.11,7.41,0,7.41,3.7,7.41,3.7,3.7,3.7,0,11.11,3.7,14.81,0,0,0,0,7.41,0.0999,0.0814,1
15.38,0,0,0,0,0,0,0,30.77,0,0,0,0,0,0,0,7.69,38.46,0,7.69,0.0342,0.067,1
