AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Target
0,0,10,5,15,0,5,0,15,0,0,20,20,0,5,5,0,0,0,0,1
13.64,0,22.73,4.55,0,0,0,4.55,4.55,4.55,0,0,4.55,0,9.09,9.09,4.55,18.18,0,0,1
0,20,0,3.33,0,16.67,0,3.33,0,3.33,0,3.33,10,0,6.67,3.33,20,6.67,3.33,0,1
4,4,16,0,4,8,4,8,0,0,16,4,4,0,20,4,0,0,0,4,1
5.88,5.88,5.88,0,0,11.76,0,5.88,23.53,11.76,5.88,0,5.88,0,11.76,5.88,0,0,0,0,1
13.33,0,0,0,6.67,13.33,0,0,0,13.33,6.67,6.67,0,6.67,20,6.67,0,6.67,0,0,1
5,10,5,0,10,5,10,0,5,0,10,0,0,0,5,0,10,15,5,5,1
0,20,6.67,0,0,16.67,0,0,0,3.33,0,3.33,10,3.33,3.33,6.67,13.33,10,3.33,0,1
7.41,0,7.41,7.41,0,3.7,0,11.11,7.41,14.81,3.7,11.11,0,14.81,3.7,0,3.7,3.7,0,0,1
0,6.67,0,6.67,13.33,0,0,6.67,6.67,6.67,0,20,0,0,20,6.67,0,6.67,0,0,1
0,0,4.76,9.52,0,9.52,4.76,4.76,0,9.52,0,4.76,14.29,0,14.29,9.52,9.52,4.76,0,0,1
0,0,0,0,0,0,0,0,27.27,0,0,0,0,9.09,54.55,0,9.09,0,0,0,1
18.18,0,0,0,4.55,0,4.55,9.09,9.09,0,0,0,13.64,0,18.18,4.55,0,13.64,0,4.55,1
6.67,0,0,0,6.67,6.67,0,13.33,6.67,0,6.67,0,0,6.67,6.67,13.33,13.33,0,0,13.33,1
3.7,0,0,3.7,7.41,3.7,0,14.81,0,14.81,0,3.7,0,7.41,40.74,0,0,0,0,0,1
0,20,3.33,3.33,3.33,16.67,0,0,0,3.33,0,6.67,13.33,0,3.33,0,16.67,6.67,3.33,0,1
5,0,0,10,15,0,0,10,10,5,5,5,15,0,0,5,5,10,0,0,1
5,10,10,0,0,20,0,0,0,10,10,0,10,0,0,5,10,0,10,0,1
9.09,9.09,9.09,9.09,4.55,4.55,4.55,4.55,13.64,4.55,0,4.55,0,0,0,4.55,9.09,9.09,0,0,1
20,0,13.33,6.67,6.67,6.67,0,0,13.33,6.67,0,13.33,0,6.67,0,0,6.67,0,0,0,1
14.29,0,4.76,4.76,9.52,19.05,0,4.76,4.76,4.76,4.76,9.52,0,0,9.52,0,0,9.52,0,0,1
20,4,4,0,4,12,8,4,0,4,0,4,8,4,4,4,0,12,4,0,1
9.52,4.76,4.76,0,4.76,9.52,4.76,4.76,9.52,4.76,0,23.81,4.76,0,4.76,9.52,0,0,0,0,1
8,0,0,4,0,4,8,4,8,32,0,4,8,0,0,8,0,12,0,0,1
0,0,3.33,3.33,0,6.67,6.67,3.33,0,23.33,3.33,0,20,0,13.33,6.67,6.67,3.33,0,0,1
0,0,0,0,0,0,0,16.67,0,8.33,25,0,0,8.33,25,8.33,8.33,0,0,0,1
10,26.67,0,3.33,0,6.67,0,3.33,6.67,0,13.33,3.33,6.67,0,6.67,3.33,6.67,3.33,0,0,1
3.33,0,3.33,30,3.33,0,0,3.33,26.67,13.33,0,0,0,10,0,0,0,3.33,3.33,0,1
10,20,0,0,10,10,0,0,0,13.33,3.33,3.33,0,3.33,6.67,3.33,6.67,3.33,3.33,3.33,1
0,0,7.69,0,7.69,0,0,0,7.69,23.08,7.69,7.69,7.69,0,0,0,7.69,23.08,0,0,1
7.14,7.14,0,0,0,0,10.71,3.57,17.86,10.71,14.29,0,3.57,0,10.71,0,10.71,3.57,0,0,1
0,0,0,0,0,0,0,13.33,6.67,20,6.67,6.67,0,13.33,6.67,0,0,6.67,0,20,1
10,5,5,0,5,0,0,5,5,15,5,10,10,5,0,5,5,10,0,0,1
3.7,11.11,0,0,3.7,0,3.7,0,14.81,3.7,3.7,0,3.7,0,33.33,0,3.7,3.7,3.7,7.41,1
0,4.76,4.76,0,0,28.57,4.76,4.76,9.52,9.52,4.76,4.76,0,0,4.76,4.76,4.76,4.76,4.76,0,1
6.67,6.67,6.67,0,20,0,6.67,0,0,13.33,6.67,20,0,0,0,0,6.67,6.67,0,0,1
16.67,0,0,0,8.33,0,0,8.33,8.33,16.67,0,0,0,0,8.33,0,16.67,8.33,0,8.33,1
8.33,0,0,12.5,0,8.33,0,4.17,12.5,4.17,8.33,0,4.17,0,12.5,0,4.17,12.5,0,8.33,1
0,0,6.25,12.5,12.5,0,0,0,6.25,31.25,0,0,0,0,25,0,0,6.25,0,0,1
10.53,10.53,5.26,10.53,5.26,0,5.26,5.26,5.26,15.79,0,5.26,5.26,0,0,5.26,5.26,5.26,0,0,1
0,0,0,0,7.14,35.71,0,0,7.14,7.14,0,0,7.14,7.14,0,7.14,0,7.14,14.29,0,1
9.52,0,0,0,9.52,0,0,4.76,23.81,4.76,0,0,0,4.76,28.57,0,0,14.29,0,0,1
14.29,3.57,0,10.71,0,3.57,0,3.57,7.14,3.57,0,0,3.57,0,35.71,0,10.71,0,3.57,0,1
13.04,0,0,0,17.39,0,4.35,13.04,30.43,4.35,0,0,0,0,0,0,8.7,8.7,0,0,1
16.67,16.67,0,5.56,5.56,5.56,0,0,11.11,0,5.56,0,5.56,5.56,5.56,0,5.56,11.11,0,0,1
10,0,0,0,0,20,0,0,0,5,0,5,25,0,15,0,0,10,5,5,1
5,5,5,5,20,5,0,5,5,10,5,5,15,0,0,5,5,0,0,0,1
5,5,5,0,5,5,0,10,5,20,0,0,10,5,0,5,15,5,0,0,1
8,16,4,0,8,0,4,4,0,4,4,4,8,4,0,0,16,12,0,4,1
0,0,0,0,0,30.77,23.08,0,30.77,0,0,7.69,0,0,0,0,0,7.69,0,0,1
25,0,0,5,0,0,0,5,20,15,0,0,5,0,5,5,0,15,0,0,1
6.9,0,0,0,3.45,3.45,0,0,10.34,0,0,10.34,20.69,6.9,3.45,13.79,6.9,6.9,3.45,3.45,1
0,27.78,0,0,0,22.22,0,0,0,11.11,0,0,0,0,22.22,0,0,5.56,5.56,5.56,1
22.22,5.56,11.11,5.56,5.56,0,5.56,0,5.56,5.56,5.56,0,0,0,11.11,0,11.11,5.56,0,0,1
4,0,0,16,4,0,4,12,24,8,4,0,0,4,12,0,4,4,0,0,1
9.09,9.09,4.55,4.55,4.55,0,4.55,4.55,4.55,9.09,0,0,9.09,0,9.09,0,9.09,13.64,0,4.55,1
0,6.25,0,0,6.25,18.75,0,0,0,18.75,6.25,0,6.25,0,12.5,6.25,0,12.5,6.25,0,1
10,0,0,0,0,0,0,10,20,10,0,0,0,10,20,10,0,0,10,0,1
6.67,0,13.33,20,6.67,0,0,10,6.67,10,0,0,0,6.67,0,3.33,6.67,6.67,0,3.33,1
16.67,0,0,4.17,12.5,12.5,4.17,4.17,4.17,4.17,4.17,0,0,0,8.33,4.17,8.33,4.17,4.17,4.17,1
10,3.33,6.67,3.33,0,3.33,0,6.67,6.67,6.67,0,6.67,3.33,3.33,0,10,16.67,10,0,3.33,1
11.76,0,0,0,0,11.76,0,5.88,0,5.88,0,11.76,11.76,5.88,17.65,11.76,5.88,0,0,0,1
6.67,0,0,0,6.67,6.67,6.67,6.67,13.33,13.33,13.33,0,0,0,6.67,0,0,0,6.67,13.33,1
5.56,0,5.56,5.56,0,33.33,0,5.56,0,27.78,5.56,0,0,0,0,0,0,11.11,0,0,1
10.71,0,3.57,0,0,21.43,3.57,0,10.71,25,0,0,0,3.57,7.14,0,3.57,3.57,3.57,3.57,1
5,5,0,5,20,5,0,10,5,10,0,0,20,0,0,5,5,5,0,0,1
20,6.67,0,0,13.33,0,6.67,0,13.33,0,6.67,6.67,0,0,6.67,6.67,13.33,0,0,0,1
3.57,0,10.71,0,10.71,7.14,7.14,0,3.57,3.57,0,0,7.14,7.14,21.43,3.57,3.57,3.57,7.14,0,1
7.69,7.69,0,0,7.69,3.85,0,7.69,11.54,7.69,0,0,3.85,3.85,19.23,7.69,3.85,0,7.69,0,1
0,0,0,0,30.77,23.08,0,0,7.69,23.08,0,0,0,0,7.69,7.69,0,0,0,0,1
4,0,8,4,4,16,8,0,0,4,12,4,4,0,12,0,4,8,8,0,1
20,0,20,6.67,0,6.67,0,0,0,13.33,0,0,0,0,0,0,6.67,20,0,6.67,1
3.45,0,3.45,3.45,3.45,17.24,0,10.34,13.79,3.45,3.45,10.34,3.45,0,3.45,3.45,10.34,3.45,3.45,0,1
14.29,3.57,7.14,7.14,3.57,0,7.14,7.14,17.86,7.14,3.57,0,7.14,0,0,10.71,0,3.57,0,0,1
5,0,0,10,5,20,0,0,5,20,0,0,5,0,15,0,0,0,15,0,1
3.33,20,3.33,3.33,0,16.67,0,3.33,0,6.67,0,3.33,10,0,3.33,6.67,13.33,3.33,3.33,0,1
0,0,13.33,13.33,0,6.67,6.67,0,0,26.67,0,13.33,0,0,6.67,0,0,13.33,0,0,1
7.14,7.14,0,0,14.29,7.14,0,0,0,3.57,7.14,3.57,21.43,3.57,10.71,0,10.71,3.57,0,0,1
8.7,0,0,0,0,8.7,4.35,0,4.35,0,8.7,4.35,26.09,0,13.04,0,8.7,4.35,0,8.7,1
15,0,5,0,5,5,5,0,5,10,10,0,5,5,5,5,5,5,5,5,1
23.81,0,4.76,4.76,9.52,4.76,4.76,0,9.52,4.76,4.76,4.76,9.52,0,0,0,9.52,4.76,0,0,1
18.18,4.55,9.09,9.09,0,9.09,0,4.55,0,18.18,0,4.55,4.55,0,4.55,0,9.09,4.55,0,0,1
23.53,0,11.76,5.88,11.76,0,0,5.88,0,0,5.88,0,0,0,0,5.88,5.88,23.53,0,0,1
11.11,0,0,0,5.56,0,0,5.56,16.67,27.78,0,0,0,0,33.33,0,0,0,0,0,1
5,0,5,5,0,30,0,0,5,0,5,5,15,5,10,0,0,5,5,0,1
7.14,0,7.14,0,0,14.29,7.14,7.14,0,7.14,14.29,7.14,7.14,0,14.29,0,0,7.14,0,0,1
0,0,0,0,25,8.33,0,8.33,8.33,16.67,0,0,8.33,0,0,0,16.67,0,8.33,0,1
0,10.71,7.14,0,3.57,3.57,3.57,0,14.29,0,21.43,0,0,0,7.14,3.57,7.14,7.14,0,10.71,1
10.71,0,0,10.71,0,3.57,7.14,7.14,0,32.14,0,3.57,17.86,0,7.14,0,0,0,0,0,1
5.26,0,0,0,0,5.26,0,0,26.32,5.26,5.26,5.26,0,0,10.53,0,0,31.58,0,5.26,1
9.52,4.76,0,0,4.76,0,9.52,9.52,9.52,0,19.05,0,0,0,0,4.76,4.76,14.29,0,9.52,1
10.53,15.79,5.26,5.26,0,0,10.53,5.26,0,0,5.26,5.26,0,10.53,10.53,15.79,0,0,0,0,1
7.41,3.7,3.7,3.7,7.41,3.7,3.7,3.7,3.7,0,0,0,0,7.41,14.81,3.7,7.41,25.93,0,0,1
16.67,8.33,0,8.33,16.67,8.33,0,8.33,8.33,0,0,0,0,8.33,8.33,0,8.33,0,0,0,1
22.22,5.56,0,11.11,0,11.11,0,0,0,11.11,11.11,0,5.56,5.56,0,0,11.11,5.56,0,0,1
12.5,0,0,0,12.5,12.5,0,0,0,37.5,6.25,0,0,6.25,0,6.25,6.25,0,0,0,1
11.76,5.88,0,17.65,0,5.88,0,5.88,5.88,5.88,0,0,5.88,0,0,0,23.53,11.76,0,0,1
6.67,0,0,6.67,0,0,0,6.67,13.33,13.33,6.67,13.33,0,0,13.33,13.33,0,0,0,6.67,1
3.57,0,0,0,3.57,3.57,10.71,7.14,10.71,3.57,0,3.57,0,3.57,10.71,0,10.71,14.29,7.14,7.14,1
0,22.22,0,0,5.56,16.67,0,5.56,0,5.56,0,0,5.56,0,27.78,0,0,5.56,0,5.56,1
7.69,0,0,0,0,7.69,0,0,30.77,0,0,0,0,0,0,0,7.69,38.46,0,7.69,1
15.38,0,0,0,23.08,7.69,0,15.38,7.69,7.69,0,7.69,0,0,0,7.69,0,0,7.69,0,1
9.09,0,9.09,9.09,0,0,0,0,18.18,9.09,0,9.09,0,0,4.55,9.09,4.55,13.64,4.55,0,1
15,0,5,0,5,5,10,5,0,15,5,0,5,0,5,5,5,10,0,5,1
18.18,9.09,0,9.09,9.09,0,0,9.09,0,0,0,0,0,0,0,0,18.18,0,27.27,0,1
8,0,0,4,0,8,12,4,8,20,0,0,8,0,0,4,0,24,0,0,1
0,0,0,6.67,0,6.67,6.67,0,13.33,0,0,0,13.33,0,6.67,13.33,20,13.33,0,0,1
0,0,4.76,0,4.76,23.81,0,0,4.76,19.05,4.76,4.76,9.52,4.76,9.52,0,0,9.52,0,0,1
5.56,5.56,5.56,0,5.56,0,0,5.56,5.56,16.67,0,0,0,0,27.78,5.56,0,0,16.67,0,1
16.67,0,8.33,0,0,16.67,0,0,8.33,16.67,8.33,0,0,0,16.67,8.33,0,0,0,0,1
0,6.67,20,6.67,6.67,0,6.67,6.67,0,0,0,13.33,6.67,0,6.67,13.33,6.67,0,0,0,1
16.67,0,5.56,0,0,22.22,0,0,5.56,22.22,5.56,5.56,0,0,5.56,5.56,5.56,0,0,0,1
0,6.25,0,0,6.25,6.25,0,0,0,12.5,0,6.25,12.5,0,25,12.5,6.25,0,0,6.25,1
10,10,10,10,0,0,0,0,10,10,0,10,0,0,0,0,20,0,0,10,1
0,0,0,0,5,10,5,0,35,15,5,0,5,0,5,0,10,5,0,0,1
8.33,4.17,0,8.33,8.33,0,0,4.17,0,8.33,8.33,8.33,8.33,12.5,0,4.17,4.17,0,4.17,8.33,1
0,19.23,0,3.85,3.85,7.69,0,3.85,7.69,7.69,0,0,0,0,0,11.54,7.69,11.54,15.38,0,1
0,5.26,15.79,5.26,5.26,0,0,0,5.26,15.79,0,5.26,0,0,5.26,10.53,0,10.53,15.79,0,1
0,0,11.76,0,11.76,5.88,0,5.88,5.88,5.88,5.88,11.76,5.88,5.88,17.65,5.88,0,0,0,0,1
3.45,13.79,6.9,0,0,17.24,0,3.45,6.9,3.45,0,3.45,0,0,0,0,24.14,17.24,0,0,1
0,0,0,0,14.29,4.76,4.76,14.29,4.76,0,4.76,4.76,14.29,4.76,4.76,4.76,9.52,4.76,4.76,0,1
4.76,4.76,9.52,4.76,4.76,4.76,4.76,0,9.52,0,9.52,4.76,4.76,4.76,4.76,9.52,9.52,4.76,0,0,1
4.76,0,0,9.52,0,4.76,0,4.76,4.76,33.33,0,9.52,0,0,0,4.76,9.52,14.29,0,0,1
15.38,0,0,3.85,0,11.54,3.85,0,3.85,3.85,0,0,11.54,0,15.38,7.69,15.38,0,0,7.69,1
7.14,3.57,0,0,3.57,0,7.14,3.57,10.71,0,3.57,3.57,7.14,3.57,17.86,0,3.57,17.86,0,7.14,1
6.67,13.33,0,6.67,3.33,6.67,0,6.67,3.33,3.33,6.67,13.33,10,0,3.33,3.33,6.67,6.67,0,0,1
0,3.57,0,0,3.57,0,7.14,3.57,10.71,3.57,32.14,0,7.14,0,21.43,0,3.57,3.57,0,0,1
11.76,0,11.76,0,5.88,23.53,0,5.88,0,11.76,11.76,0,5.88,0,11.76,0,0,0,0,0,1
23.08,0,0,0,7.69,7.69,0,7.69,15.38,15.38,7.69,0,0,0,15.38,0,0,0,0,0,1
15,0,15,0,0,20,0,5,5,10,0,0,0,0,0,5,5,15,5,0,1
0,0,10,20,0,0,0,10,20,10,0,10,0,3.33,0,3.33,3.33,0,6.67,3.33,1
15.79,0,0,0,0,0,0,0,10.53,0,10.53,5.26,5.26,0,21.05,15.79,0,10.53,0,5.26,1
0,20.69,3.45,3.45,0,17.24,0,0,0,0,0,6.9,6.9,0,6.9,0,17.24,13.79,3.45,0,1
14.29,3.57,3.57,3.57,10.71,14.29,0,0,10.71,10.71,0,3.57,0,0,14.29,10.71,0,0,0,0,1
7.69,3.85,0,0,3.85,7.69,7.69,3.85,3.85,15.38,3.85,3.85,7.69,0,7.69,3.85,11.54,3.85,3.85,0,1
0,20,0,3.33,0,16.67,3.33,0,0,6.67,0,3.33,10,0,3.33,3.33,16.67,10,3.33,0,1
10,0,15,10,0,0,5,5,20,5,0,0,0,5,0,15,0,10,0,0,1
13.33,0,0,0,6.67,0,0,0,20,40,0,0,0,0,6.67,0,6.67,6.67,0,0,1
0,0,0,0,5.88,0,0,0,0,35.29,5.88,0,0,0,17.65,0,0,17.65,11.76,5.88,1
10,10,5,0,10,0,0,10,0,5,5,0,0,0,0,0,15,25,5,0,1
10.34,0,13.79,6.9,3.45,0,3.45,10.34,0,0,10.34,13.79,0,6.9,0,6.9,6.9,3.45,0,3.45,1
25,0,8.33,0,0,16.67,0,0,8.33,16.67,8.33,0,0,0,16.67,0,0,0,0,0,1
0,4.55,9.09,0,9.09,9.09,0,9.09,0,0,4.55,0,9.09,4.55,13.64,9.09,9.09,4.55,0,4.55,1
11.11,0,5.56,0,5.56,11.11,0,5.56,16.67,22.22,0,0,0,0,16.67,0,5.56,0,0,0,1
0,0,0,3.7,3.7,3.7,3.7,11.11,11.11,18.52,3.7,7.41,0,11.11,18.52,0,0,3.7,0,0,1
0,0,4.35,0,4.35,4.35,0,13.04,13.04,8.7,8.7,4.35,4.35,0,4.35,8.7,8.7,13.04,0,0,1
3.45,3.45,6.9,3.45,3.45,0,6.9,3.45,0,31.03,3.45,0,10.34,3.45,13.79,3.45,0,3.45,0,0,1
3.33,10,3.33,0,3.33,0,6.67,10,10,13.33,3.33,0,10,0,10,3.33,6.67,6.67,0,0,1
8,0,4,12,4,0,4,0,0,4,0,12,16,0,12,8,0,4,4,8,1
13.33,0,3.33,0,13.33,16.67,3.33,0,3.33,6.67,0,3.33,0,6.67,0,13.33,0,13.33,3.33,0,1
7.69,0,0,0,30.77,0,0,0,30.77,7.69,0,0,0,0,0,0,0,15.38,0,7.69,1
3.33,16.67,3.33,0,0,6.67,0,3.33,16.67,3.33,13.33,3.33,6.67,0,6.67,3.33,6.67,3.33,0,3.33,1
0,0,0,0,10,5,5,10,0,15,0,0,0,5,45,5,0,0,0,0,1
4.17,0,4.17,4.17,4.17,0,0,16.67,4.17,12.5,4.17,4.17,4.17,4.17,8.33,12.5,4.17,4.17,0,4.17,1
0,0,5.56,5.56,5.56,33.33,0,0,0,5.56,0,5.56,11.11,0,11.11,5.56,0,0,5.56,5.56,1
3.33,10,10,3.33,0,3.33,10,0,0,6.67,3.33,10,3.33,0,3.33,6.67,13.33,10,3.33,0,1
10,6.67,3.33,3.33,3.33,6.67,3.33,3.33,0,6.67,3.33,6.67,6.67,0,3.33,0,13.33,13.33,3.33,3.33,1
8.33,0,8.33,4.17,0,12.5,0,4.17,12.5,4.17,4.17,12.5,0,8.33,12.5,8.33,0,0,0,0,1
0,0,0,8.33,0,8.33,0,16.67,8.33,0,0,8.33,8.33,0,8.33,8.33,0,25,0,0,1
6.67,6.67,3.33,6.67,6.67,3.33,10,0,3.33,3.33,3.33,10,6.67,6.67,3.33,3.33,0,16.67,0,0,1
5,5,5,0,0,10,0,10,10,5,5,5,5,0,0,10,5,15,5,0,1
0,0,10,20,0,0,0,13.33,23.33,3.33,3.33,3.33,0,6.67,0,3.33,3.33,0,6.67,3.33,1
3.85,3.85,3.85,0,3.85,11.54,0,3.85,3.85,0,7.69,0,7.69,0,34.62,0,3.85,7.69,0,3.85,1
0,25,0,0,0,12.5,6.25,6.25,0,12.5,6.25,0,0,0,18.75,0,6.25,6.25,0,0,1
17.65,5.88,0,5.88,0,5.88,0,0,11.76,11.76,0,0,5.88,0,11.76,0,0,23.53,0,0,1
3.33,3.33,6.67,6.67,3.33,6.67,3.33,13.33,10,10,0,6.67,0,3.33,0,10,6.67,3.33,0,3.33,1
5.88,0,23.53,0,5.88,0,5.88,0,5.88,5.88,5.88,11.76,11.76,0,5.88,0,0,5.88,0,5.88,1
0,0,10,0,0,40,20,0,0,0,0,0,0,10,0,10,0,10,0,0,1
6.67,20,0,3.33,3.33,3.33,0,3.33,10,16.67,0,6.67,6.67,0,3.33,6.67,3.33,3.33,3.33,0,1
20,0,10,0,0,0,0,10,20,20,0,0,0,0,20,0,0,0,0,0,1
25,0,15,5,5,0,0,0,0,10,0,5,10,0,15,5,0,0,5,0,1
18.18,9.09,0,9.09,9.09,9.09,0,9.09,9.09,0,0,0,0,9.09,0,0,0,9.09,9.09,0,1
6.25,0,6.25,6.25,0,0,0,6.25,12.5,0,0,0,0,0,25,0,0,0,25,12.5,1
5.56,5.56,5.56,0,0,33.33,0,5.56,0,22.22,0,0,0,0,5.56,11.11,0,5.56,0,0,1
0,20,0,3.33,0,16.67,0,0,0,6.67,0,10,10,0,3.33,3.33,13.33,10,3.33,0,1
4.55,9.09,4.55,9.09,4.55,4.55,0,0,13.64,9.09,9.09,0,0,4.55,4.55,13.64,9.09,0,0,0,1
5,0,0,0,10,5,5,5,0,10,0,0,0,10,45,0,0,5,0,0,1
7.69,7.69,0,0,3.85,19.23,3.85,7.69,11.54,7.69,3.85,0,3.85,0,0,15.38,7.69,0,0,0,1
11.11,0,0,11.11,0,5.56,0,0,5.56,16.67,11.11,5.56,11.11,5.56,5.56,0,0,0,5.56,5.56,1
7.14,0,7.14,0,7.14,0,7.14,0,0,0,7.14,0,14.29,0,0,7.14,14.29,21.43,0,7.14,1
24,4,0,0,4,12,0,4,0,20,0,0,4,4,0,4,8,8,4,0,1
21.43,0,0,0,7.14,0,0,0,28.57,0,0,7.14,0,0,0,0,7.14,14.29,0,14.29,1
7.69,0,0,0,7.69,0,0,0,15.38,30.77,0,7.69,0,0,0,7.69,0,15.38,0,7.69,1
4.35,0,4.35,0,8.7,4.35,0,13.04,0,0,8.7,0,8.7,0,17.39,4.35,13.04,4.35,0,8.7,1
9.52,4.76,0,4.76,9.52,19.05,0,14.29,4.76,9.52,0,0,0,0,0,9.52,9.52,4.76,0,0,1
20,0,10,10,0,10,0,0,0,30,0,0,0,0,10,0,0,10,0,0,1
15.38,0,0,0,0,7.69,0,0,30.77,7.69,0,0,0,0,0,0,7.69,23.08,0,7.69,1
5,0,5,5,10,0,5,15,10,5,0,5,5,5,10,5,0,10,0,0,1
4.76,4.76,4.76,0,4.76,9.52,0,4.76,4.76,9.52,4.76,9.52,9.52,0,0,4.76,9.52,0,4.76,9.52,1
7.69,0,7.69,0,7.69,0,0,0,30.77,15.38,0,0,0,0,0,0,7.69,15.38,0,7.69,1
4.55,0,0,0,13.64,0,4.55,0,4.55,0,0,4.55,0,0,31.82,4.55,13.64,13.64,0,4.55,1
7.69,0,7.69,0,0,0,0,7.69,15.38,30.77,0,7.69,0,0,15.38,0,7.69,0,0,0,1
0,0,14.29,0,0,21.43,0,0,0,7.14,0,14.29,7.14,0,28.57,0,0,7.14,0,0,1
18.18,9.09,0,0,0,18.18,9.09,0,0,18.18,0,0,0,9.09,18.18,0,0,0,0,0,1
16.67,16.67,0,5.56,5.56,11.11,0,5.56,5.56,11.11,0,0,0,0,5.56,5.56,5.56,5.56,0,0,1
0,0,3.45,27.59,0,0,3.45,10.34,20.69,3.45,0,0,0,10.34,0,3.45,3.45,0,10.34,3.45,1
6.67,0,3.33,0,13.33,23.33,3.33,3.33,3.33,3.33,0,0,0,3.33,0,6.67,3.33,16.67,10,0,1
20,0,0,0,0,0,0,0,26.67,13.33,0,0,0,0,6.67,0,6.67,20,0,6.67,1
20,0,13.33,6.67,0,0,6.67,6.67,0,0,0,0,0,0,0,20,6.67,13.33,0,6.67,1
0,0,0,4.55,0,13.64,4.55,22.73,9.09,18.18,0,13.64,0,0,4.55,0,4.55,4.55,0,0,1
4.76,0,0,4.76,0,4.76,0,4.76,14.29,4.76,9.52,0,0,0,19.05,4.76,9.52,9.52,0,9.52,1
0,9.09,0,9.09,4.55,4.55,0,13.64,13.64,0,0,0,4.55,0,9.09,4.55,13.64,4.55,4.55,4.55,1
5.26,5.26,0,10.53,0,5.26,10.53,0,26.32,0,0,5.26,10.53,5.26,5.26,5.26,5.26,0,0,0,1
6.9,13.79,3.45,3.45,0,3.45,6.9,3.45,3.45,3.45,17.24,3.45,0,0,6.9,3.45,10.34,3.45,3.45,3.45,1
5,0,5,0,0,0,0,5,0,10,10,0,0,5,20,5,5,15,10,5,1
6.67,3.33,0,3.33,6.67,6.67,3.33,6.67,6.67,6.67,6.67,0,3.33,3.33,3.33,10,13.33,6.67,3.33,0,1
5,0,5,5,0,15,0,5,20,25,0,5,0,0,0,0,5,10,0,0,1
22.22,11.11,5.56,5.56,0,0,5.56,5.56,5.56,0,5.56,5.56,0,0,11.11,0,11.11,5.56,0,0,1
4,0,0,4,0,8,4,4,32,12,0,4,0,0,4,8,4,4,8,0,1
23.53,0,0,0,0,0,5.88,0,5.88,5.88,5.88,0,11.76,5.88,0,5.88,5.88,17.65,0,5.88,1
15,0,0,25,0,0,0,0,0,35,5,5,5,0,5,0,5,0,0,0,1
5.56,22.22,0,0,5.56,5.56,0,5.56,11.11,0,0,0,0,5.56,16.67,11.11,11.11,0,0,0,1
28.57,0,0,0,0,0,0,0,4.76,0,0,0,0,0,66.67,0,0,0,0,0,1
13.04,4.35,4.35,0,0,13.04,0,0,4.35,0,4.35,0,8.7,0,26.09,4.35,8.7,8.7,0,0,1
12,4,8,0,4,0,4,0,4,4,8,0,4,0,20,0,16,4,0,8,1
0,5.88,0,0,0,23.53,0,0,0,5.88,0,0,0,5.88,41.18,11.76,0,5.88,0,0,1
0,0,0,7.41,7.41,3.7,3.7,0,14.81,29.63,0,0,3.7,7.41,18.52,0,3.7,0,0,0,1
3.57,0,0,7.14,3.57,0,7.14,7.14,21.43,0,0,3.57,0,10.71,17.86,3.57,0,7.14,3.57,3.57,1
0,11.11,0,0,11.11,0,16.67,5.56,11.11,0,5.56,0,11.11,0,0,0,11.11,11.11,0,5.56,1
0,0,10,0,0,20,0,0,0,50,0,0,0,0,0,0,10,10,0,0,1
7.69,3.85,7.69,0,3.85,3.85,11.54,7.69,0,7.69,3.85,0,0,3.85,7.69,11.54,7.69,11.54,0,0,1
13.33,0,13.33,0,13.33,6.67,0,0,0,26.67,0,0,6.67,6.67,0,6.67,0,6.67,0,0,1
11.76,11.76,11.76,0,0,0,11.76,0,5.88,0,0,0,11.76,0,5.88,5.88,11.76,11.76,0,0,1
0,0,4.35,30.43,0,0,0,13.04,26.09,4.35,0,0,0,0,0,4.35,4.35,0,8.7,4.35,1
8.33,0,4.17,12.5,4.17,4.17,4.17,4.17,4.17,4.17,8.33,4.17,4.17,4.17,4.17,0,12.5,0,8.33,4.17,1
4.76,4.76,4.76,0,4.76,14.29,0,0,14.29,0,4.76,0,0,0,23.81,4.76,9.52,9.52,0,0,1
8.7,4.35,0,0,8.7,4.35,4.35,0,17.39,13.04,13.04,0,8.7,0,8.7,0,0,4.35,0,4.35,1
5.56,5.56,5.56,0,11.11,11.11,5.56,0,5.56,11.11,0,5.56,0,0,11.11,5.56,0,5.56,5.56,5.56,1
14.29,0,4.76,0,4.76,14.29,4.76,9.52,0,9.52,0,4.76,4.76,0,0,0,0,23.81,4.76,0,1
10,3.33,10,3.33,3.33,6.67,0,13.33,3.33,13.33,0,6.67,3.33,3.33,6.67,3.33,3.33,3.33,3.33,0,1
8.33,8.33,8.33,0,8.33,8.33,0,0,0,16.67,0,0,0,0,8.33,0,16.67,8.33,0,8.33,1
4.76,0,9.52,4.76,9.52,14.29,0,4.76,0,4.76,0,14.29,0,0,9.52,0,14.29,4.76,4.76,0,1
15.38,0,0,7.69,15.38,0,7.69,0,15.38,7.69,7.69,0,0,0,7.69,0,0,7.69,0,7.69,1
0,0,6.67,13.33,0,13.33,0,6.67,6.67,6.67,0,6.67,0,13.33,6.67,13.33,0,0,0,6.67,1
